"date","ARIMA","UCM","ML"
2017-12-01 00:00:00,26047.0015739824,27961.8954733559,26732.2629855195
2017-12-01 00:10:00,25580.0509681969,27425.0607307162,26056.8868917653
2017-12-01 00:20:00,25303.5670551688,26970.9105458234,25462.5351040631
2017-12-01 00:30:00,24762.8874105683,26586.4965798843,25047.5643349067
2017-12-01 00:40:00,24277.5045425831,26252.3761064325,24602.4715278682
2017-12-01 00:50:00,23878.1388948687,25946.8893399652,24200.894948282
2017-12-01 01:00:00,23663.0958591677,25650.597353216,23769.9326498855
2017-12-01 01:10:00,23355.891512468,25350.0073981018,23417.0010188509
2017-12-01 01:20:00,23134.7043860391,25039.8735364652,23092.839448734
2017-12-01 01:30:00,22962.6699554816,24723.6589462114,22754.2566182304
2017-12-01 01:40:00,22680.0419517254,24412.122036208,22534.9403247764
2017-12-01 01:50:00,22673.8978709816,24120.3669979745,22381.8094318925
2017-12-01 02:00:00,22360.5494335539,23864.0060880539,22267.3787970368
2017-12-01 02:10:00,22133.2182263812,23655.2556981286,22130.4235865972
2017-12-01 02:20:00,21912.0310899681,23499.7971312889,21930.4520174974
2017-12-01 02:30:00,21783.0052645539,23395.0745555885,21747.5699084641
2017-12-01 02:40:00,21776.8611838101,23330.4082442871,21507.986253765
2017-12-01 02:50:00,21819.8697889535,23288.9290073547,21340.9953523194
2017-12-01 03:00:00,21451.2245749106,23250.9631507942,21316.8256177207
2017-12-01 03:10:00,21457.3686656386,23198.1910126147,21336.0237772274
2017-12-01 03:20:00,21328.3428402244,23117.7274377404,21343.2831794579
2017-12-01 03:30:00,21193.1729240822,23005.2655184567,21322.3026268068
2017-12-01 03:40:00,20990.4180598531,22866.5892034462,21361.5675684987
2017-12-01 03:50:00,21168.5965811386,22717.0663259784,21440.737644187
2017-12-01 04:00:00,21242.3256199535,22579.1237556597,21436.1002032866
2017-12-01 04:10:00,21199.3170148102,22478.1062917599,21428.58049242
2017-12-01 04:20:00,20996.562150581,22437.2533132821,21437.5239392049
2017-12-01 04:30:00,21334.4869309523,22472.7267511011,21489.9845353499
2017-12-01 04:40:00,21555.6740573812,22589.649853376,21637.392020593
2017-12-01 04:50:00,21850.590222625,22779.9602102584,21894.2121868991
2017-12-01 05:00:00,21942.7515236397,23022.5687215297,22191.6269076639
2017-12-01 05:10:00,22010.3364817108,23285.904528985,22549.6515682675
2017-12-01 05:20:00,21764.5730123383,23532.4897639555,22697.9706723269
2017-12-01 05:30:00,22403.5580486814,23724.8080971652,22838.9452898807
2017-12-01 05:40:00,23153.1366482389,23831.4786656976,23046.5808919621
2017-12-01 05:50:00,22925.805431082,23832.6700806623,23046.0086217087
2017-12-01 06:00:00,22637.033346582,23723.8038193072,22800.2866809473
2017-12-01 06:10:00,22839.7882108112,23516.8830289348,22457.5187617416
2017-12-01 06:20:00,22876.6527352107,23239.1904609166,22106.5103026127
2017-12-01 06:30:00,22440.4225630968,22929.554362532,21889.3789550014
2017-12-01 06:40:00,21955.0397050956,22632.8013424739,21752.7760628885
2017-12-01 06:50:00,20984.2739691251,22393.3246033949,21809.0034879002
2017-12-01 07:00:00,21494.2331900381,22248.8390906059,21945.3677554173
2017-12-01 07:10:00,21881.3106562966,22225.3472966151,22129.2996384279
2017-12-01 07:20:00,22200.8031744681,22334.1110627877,22307.0470223333
2017-12-01 07:30:00,22342.1171713541,22571.0591215628,22479.3829174068
2017-12-01 07:40:00,22520.2956926396,22918.6254780133,22722.2459242561
2017-12-01 07:50:00,22778.3473434681,23349.590126489,23227.8391904098
2017-12-01 08:00:00,23460.3409849545,23832.1580804544,23882.0835658061
2017-12-01 08:10:00,24283.648633311,24335.324948662,24481.6954585487
2017-12-01 08:20:00,24633.8615851541,24833.5686921258,24490.9444574808
2017-12-01 08:30:00,25113.1003624114,25310.0752467603,23868.864261448
2017-12-01 08:40:00,25586.1950489408,25758.0148885213,23286.8606268766
2017-12-01 08:50:00,26047.0015739824,26179.7751136685,23819.7420394362
2017-12-01 09:00:00,26722.8511247409,26584.4489633057,24558.2576403073
2017-12-01 09:10:00,26931.750079698,26984.2001723988,25145.4445718837
2017-12-01 09:20:00,27613.7437211844,27390.3180542149,25854.4214817025
2017-12-01 09:30:00,28166.7115472408,27809.8015291352,26734.8332985238
2017-12-01 09:40:00,28473.9158939405,28243.1714381158,27457.3763983847
2017-12-01 09:50:00,28676.6707581696,28683.9339139436,27956.3831582334
2017-12-01 10:00:00,28977.7310141414,29119.761978562,28394.2580030703
2017-12-01 10:10:00,29702.7332707553,29535.0995135744,28852.1197027505
2017-12-01 10:20:00,30040.6580511266,29914.5940139961,29200.299388634
2017-12-01 10:30:00,30034.5139603986,30246.5914475806,29634.8642596628
2017-12-01 10:40:00,30003.7935267271,30525.912530597,29978.728844124
2017-12-01 10:50:00,30354.0064785702,30755.2775373679,30134.2245352219
2017-12-01 11:00:00,30691.9312589415,30945.02686366,30352.7492278009
2017-12-01 11:10:00,31079.0087351841,31111.140898849,30628.8463205217
2017-12-01 11:20:00,31091.2969066559,31271.9236548792,30823.5770445109
2017-12-01 11:30:00,31115.8732495995,31444.0068181161,30910.9214957304
2017-12-01 11:40:00,31171.1700361988,31638.4940981754,30788.9885180444
2017-12-01 11:50:00,30974.5592527135,31858.0645688171,30536.8839295827
2017-12-01 12:00:00,31306.3399423568,32095.6850103328,30420.0037203235
2017-12-01 12:10:00,31761.0023766705,32335.2752821633,30343.7536812811
2017-12-01 12:20:00,32240.2411539278,32554.2855945533,30332.773712889
2017-12-01 12:30:00,32154.223933657,32727.7552750449,30372.7759001628
2017-12-01 12:40:00,32160.3680243849,32833.1068262255,30526.2945530103
2017-12-01 12:50:00,32504.4368855001,32854.7516909336,30771.7867679102
2017-12-01 13:00:00,32418.4196752134,32787.5845105472,31029.6769448877
2017-12-01 13:10:00,32399.9874130136,32638.6262488038,31275.3997686828
2017-12-01 13:20:00,32172.6561958567,32426.4131089389,31559.7942985027
2017-12-01 13:30:00,32055.9185419143,32178.1567372754,31746.1997057746
2017-12-01 13:40:00,31601.2561175848,31925.1411439977,31734.3787994255
2017-12-01 13:50:00,31404.6453340995,31697.1878178884,31649.6126112121
2017-12-01 14:00:00,31079.0087351841,31517.239053179,31525.237370084
2017-12-01 14:10:00,31220.3227320701,31397.1330030903,31632.3285664415
2017-12-01 14:20:00,31324.7722045566,31335.4607481163,31917.0573651067
2017-12-01 14:30:00,31300.195861613,31318.033110267,32107.0494871502
2017-12-01 14:40:00,31373.9249004279,31321.0054086463,32141.8784515574
2017-12-01 14:50:00,31300.195861613,31316.1983421974,32299.6360771349
2017-12-01 15:00:00,31195.7463791424,31277.7077599448,32420.7868430201
2017-12-01 15:10:00,31263.3313372135,31188.6012773859,32344.1788346232
2017-12-01 15:20:00,30968.4151619855,31046.4162465549,32412.9741319673
